"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"1","Sierra Leone_Kailahun","Sierra Leone",200,"Eastern",1200,"Kailahun",1001200,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0594188598918631,0.0899674145004951
"2","South Sudan_Bahr al Jabal","South Sudan",206,"Central Equatoria",1206,"Bahr al Jabal",1001206,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0511991715399432,0.100696425191536
"3","Burkina Faso_Comoé","Burkina Faso",22,"Cascades",2022,"Comoé",1002022,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.055856737270214,0.099781118494075
"4","South Sudan_Amatonge","South Sudan",206,"Eastern Equatoria",2206,"Amatonge",1002206,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0507188983078251,0.0999101625822901
"5","Central African Republic_Alindao","Central African Republic",39,"Basse-Kotto",3039,"Alindao",1003039,2017,28,"Infant",3,"Both",27,"Probability of death",0.095,0.0611320741160924,0.141444538177213
"6","Mali_Bafoulabé","Mali",146,"Kayes",3146,"Bafoulabé",1003146,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0579914684030496,0.0918093292547792
"7","Sierra Leone_Bo","Sierra Leone",200,"Southern",3200,"Bo",1003200,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0615997248172034,0.0882571705813311
"8","Somalia_Mogadisho","Somalia",203,"Banaadir",3203,"Mogadisho",1003203,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.0447902172783091,0.125687245962369
"9","Central African Republic_Djemah","Central African Republic",39,"Haut-Mbomou",4039,"Djemah",1004039,2017,28,"Infant",3,"Both",27,"Probability of death",0.086,0.0583049871230344,0.127753861526322
"10","Côte d'Ivoire_Folon","Côte d'Ivoire",45,"Denguélé",4045,"Folon",1004045,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0557497269444786,0.0937965706041918
