name,status,shortname,homepage,url,lat,long
UN Country Team in Sierra Leone,active,UNCT Sierra Leone,https://sierraleone.un.org/,https://reliefweb.int/taxonomy/term/15192,37.599999999999994,-95.665
Sierra Leone Red Cross Society,active,Sierra Leone Red Cross,http://sierraleoneredcross.org,https://reliefweb.int/taxonomy/term/12115,8.37066078571215,-13.337692052207002
HPF South Sudan,active,HPF South Sudan,https://hpfsouthsudan.org,https://reliefweb.int/taxonomy/term/51020,4.852093396476775,31.583839414762952
ChildBride Solidarity,active,CBS,http://childbridesolidarity.org/,https://reliefweb.int/taxonomy/term/50693,37.599999999999994,-95.665
Conflict Sensitivity Resource Facility,active,CSRF,https://www.csrf-southsudan.org/,https://reliefweb.int/taxonomy/term/50492,37.599999999999994,-95.665
Christian Mission for Development,active,CMD,,https://reliefweb.int/taxonomy/term/45209,34.842492188730,-95.69649717274984
Reconstituted Joint Monitoring and Evaluation Commission,active,RJMEC,http://jmecsouthsudan.org/,https://reliefweb.int/taxonomy/term/45039,4.858100296472427,31.602813114762952
Transitional Justice Working Group - South Sudan,active,TJWG - South Sudan,https://www.facebook.com/Transitional-Justice-Working-Group-TJWG-South-Sudan-252501368450431/,https://reliefweb.int/taxonomy/term/35881,4.855025624373843,31.552850967736138
The Sudd Institute,active,The Sudd Institute,http://www.suddinstitute.org,https://reliefweb.int/taxonomy/term/14524,4.871635196462704,31.57873211476307
South Sudan NGO Forum,active,South Sudan NGO Forum,http://southsudanngoforum.org/,https://reliefweb.int/taxonomy/term/13685,4.860229096470934,31.596960614762917
South Sudan Red Cross,active,South Sudan Red Cross,https://www.ifrc.org/taxonomy/term/1255,https://reliefweb.int/taxonomy/term/10653,7.052709186532341,27.503010713670278
UN Resident and Humanitarian Coordinator in South Sudan,active,UN RC/HC South Sudan,https://southsudan.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/8994,37.599999999999994,-95.665
The Food Crisis Prevention Network,active,RPCA,https://www.food-security.net/en/,https://reliefweb.int/taxonomy/term/51217,34.842492188730,-95.69649717274984
Coalition citoyenne pour le Sahel,active,Coalition citoyenne pour le Sahel,https://www.sahelpeoplescoalition.org/,https://reliefweb.int/taxonomy/term/51135,12.06342830137239,-26.354907731243127
Croix-Rouge Burkinabè,active,Croix-Rouge Burkinabè,http://croixrougebf.org/,https://reliefweb.int/taxonomy/term/11241,13.2026581991814,-1.9573730347481617
UN Country Team in Burkina Faso,active,UNCT Burkina Faso,https://burkinafaso.un.org/fr,https://reliefweb.int/taxonomy/term/2645,12.367879391253897,-1.5182575851842308
Permanent Interstate Committee for Drought Control in the Sahel,active,CILSS,http://www.cilss.int/,https://reliefweb.int/taxonomy/term/2459,12.06342830137239,-26.354907731243127
Communauté Économique et Monétaire de l'Afrique Centrale,active,CEMAC,https://www.cemac.int/,https://reliefweb.int/taxonomy/term/47194,1.7400339194434,-16.244448579494257
