name,status,shortname,homepage,url
UN Country Team in Sierra Leone,active,UNCT Sierra Leone,https://sierraleone.un.org/,https://reliefweb.int/taxonomy/term/15192
Sierra Leone Red Cross Society,active,Sierra Leone Red Cross,http://sierraleoneredcross.org,https://reliefweb.int/taxonomy/term/12115
HPF South Sudan,active,HPF South Sudan,https://hpfsouthsudan.org,https://reliefweb.int/taxonomy/term/51020
ChildBride Solidarity,active,CBS,http://childbridesolidarity.org/,https://reliefweb.int/taxonomy/term/50693
Conflict Sensitivity Resource Facility,active,CSRF,https://www.csrf-southsudan.org/,https://reliefweb.int/taxonomy/term/50492
Christian Mission for Development,active,CMD,,https://reliefweb.int/taxonomy/term/45209
Reconstituted Joint Monitoring and Evaluation Commission,active,RJMEC,http://jmecsouthsudan.org/,https://reliefweb.int/taxonomy/term/45039
Transitional Justice Working Group - South Sudan,active,TJWG - South Sudan,https://www.facebook.com/Transitional-Justice-Working-Group-TJWG-South-Sudan-252501368450431/,https://reliefweb.int/taxonomy/term/35881
The Sudd Institute,active,The Sudd Institute,http://www.suddinstitute.org,https://reliefweb.int/taxonomy/term/14524
South Sudan NGO Forum,active,South Sudan NGO Forum,http://southsudanngoforum.org/,https://reliefweb.int/taxonomy/term/13685
South Sudan Red Cross,active,South Sudan Red Cross,https://www.ifrc.org/taxonomy/term/1255,https://reliefweb.int/taxonomy/term/10653
UN Resident and Humanitarian Coordinator in South Sudan,active,UN RC/HC South Sudan,https://southsudan.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/8994
The Food Crisis Prevention Network,active,RPCA,https://www.food-security.net/en/,https://reliefweb.int/taxonomy/term/51217
Coalition citoyenne pour le Sahel,active,Coalition citoyenne pour le Sahel,https://www.sahelpeoplescoalition.org/,https://reliefweb.int/taxonomy/term/51135
Croix-Rouge Burkinabè,active,Croix-Rouge Burkinabè,http://croixrougebf.org/,https://reliefweb.int/taxonomy/term/11241
UN Country Team in Burkina Faso,active,UNCT Burkina Faso,https://burkinafaso.un.org/fr,https://reliefweb.int/taxonomy/term/2645
Permanent Interstate Committee for Drought Control in the Sahel,active,CILSS,http://www.cilss.int/,https://reliefweb.int/taxonomy/term/2459
Communauté Économique et Monétaire de l'Afrique Centrale,active,CEMAC,https://www.cemac.int/,https://reliefweb.int/taxonomy/term/47194
UN Resident Coordinator in the Central African Republic,active,UN RC CAR,https://republiquecentrafricaine.un.org/fr/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22341
UN Multidimensional Integrated Stabilization Mission in the Central African Republic,active,MINUSCA,https://minusca.unmissions.org/,https://reliefweb.int/taxonomy/term/14612
UN Country Team in Central African Republic,active,UNCT CAR,https://republiquecentrafricaine.un.org/fr,https://reliefweb.int/taxonomy/term/2780
Coalition citoyenne pour le Sahel,active,Coalition citoyenne pour le Sahel,https://www.sahelpeoplescoalition.org/,https://reliefweb.int/taxonomy/term/51135
myAgro,active,myAgro,http://www.myagro.org/,https://reliefweb.int/taxonomy/term/34206
UN Multidimensional Integrated Stabilization Mission in Mali,active,MINUSMA,https://minusma.unmissions.org/,https://reliefweb.int/taxonomy/term/12757
Croix-Rouge Malienne,active,Croix-Rouge Malienne,https://www.croixrouge-mali.org/,https://reliefweb.int/taxonomy/term/12112
UN Country Team in Mali,active,UNCT Mali,https://mali.un.org/fr,https://reliefweb.int/taxonomy/term/3137
